scenario,model_type,feature_set,train_time_sec,batch_size,inference_time_sec_median,inference_time_per_1000_sec,records_per_second
Base,lightgbm,raw,40.369411327992566,150000,1.138273778007715,0.007588491853384767,131778.49028775864
Base,lightgbm,engineered,47.04309290299716,150000,1.9406037959997775,0.012937358639998515,77295.53055043967
Base,xgboost,raw,30.150460884993663,150000,0.7907540690066526,0.005271693793377684,189692.35300733946
Base,xgboost,engineered,42.816219540007296,150000,1.631610174998059,0.010877401166653727,91933.724304078
SAML-D,lightgbm,engineered,183.9284098079952,1425729,9.406856989997323,0.006597927789921734,151562.7378534651
SAML-D,xgboost,engineered,236.28916010800452,1425729,8.657740459006163,0.006072500776098518,164676.80069074995
Variant I,lightgbm,engineered,63.748557708007866,1000000,13.66025061099208,0.01366025061099208,73205.0991213385
Variant I,xgboost,engineered,48.77456758399785,1000000,11.32692059900728,0.01132692059900728,88285.24851561531
Variant II,lightgbm,engineered,50.36303933800082,1000000,13.761183050999534,0.013761183050999534,72668.17077383224
Variant II,xgboost,engineered,46.687243075997685,1000000,11.303781786002219,0.011303781786002219,88465.96819821197
